Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C2, C3, C30, C32, C35, C4, C5",0402,10,100nF,
C17,0402,1,10nF,
"C18, C19, C33, C37",0402,4,0.1uF,
"C20, C21",0805,2,22uF,
"C22, C36",1206,2,2.2uF,
"C23, C24, C25, C6",0402,4,1uF,
"C26, C27",0402,2,20pF,
"C28, C29",0402,2,6.8pF,
"C31, C34",0603,2,2.2uF,
"C38, C39",1206,2,22uF,
C7,CAP-TH_BD6.3-P2.50-D0.5-FD,1,25V100UF CD110,C2960218
CN1,CONN-SMD_8P-P1.00_XUNPU_WAFER-SH1.0-8PWB,1,WAFER-SH1.0-8PWB,C3029347
"J1, J2, J3, J4, J5",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,5,Conn_01x01_Pin,
L1,L0603,1,FCM1608KF-601T03,C141723
L3,IND-SMD_L3.0-W3.0,1,5.6uH,C18236327
L4,IND-SMD_L3.0-W3.0,1,6.8uH,C18236327
"R1, R2",0402,2,5.1K,
"R14, R16",0402,2,100k,
R15,0402,1,22.1k,
R17,0402,1,13.7k,
"R3, R5",0402,2,10k,
R4,0402,1,1k,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U2,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,C50278
U3,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F405RGT6,C118207
"U5, U6",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,LMR51430XDDCR,C5185863
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
