Designator,Mid X,Mid Y,Rotation,Layer
C1,143.72,-84.1,0.0,top
C15,131.8028,-97.932926,90.0,top
C16,134.02,-100.909326,0.0,top
C17,151.62,-81.8,180.0,top
C18,152.5,-86.9,180.0,top
C19,158.3852,-93.3274,270.0,top
C2,134.9,-91.52,270.0,top
C20,163.3,-102.7,0.0,top
C21,163.3,-100.7156,0.0,top
C22,161.025,-87.9,0.0,top
C23,143.72,-83.084,0.0,top
C24,151.8,-89.02,90.0,top
C25,139.92,-100.7,180.0,top
C26,143.1548,-103.3644,90.0,top
C27,148.6548,-103.3444,270.0,top
C28,139.25,-105.125,270.0,top
C29,141.75,-105.12,270.0,top
C3,150.8,-89.02,90.0,top
C30,151.0884,-101.8836,270.0,top
C31,146.825,-84.6,0.0,top
C32,139.92,-99.7,180.0,top
C33,154.2,-83.8,90.0,top
C34,133.6,-89.6,180.0,top
C35,149.08,-98.7,180.0,top
C36,156.275,-97.9,0.0,top
C37,153.975,-102.1,270.0,top
C38,156.5,-111.7,0.0,top
C39,156.5,-109.4,0.0,top
C4,151.6,-97.58,270.0,top
C5,143.6,-99.9,180.0,top
C6,133.884,-91.52,270.0,top
C7,154.55,-92.7,180.0,top
CN1,161.0,-80.8,90.0,top
J1,137.6,-77.2,0.0,top
J2,140.6,-77.2,0.0,top
J3,143.6,-77.2,0.0,top
J4,129.25,-111.1,90.0,top
J5,133.3,-111.1,90.0,top
L1,151.0,-95.6,0.0,top
L3,162.67,-97.5,180.0,top
L4,156.075,-106.07,180.0,top
R1,135.4927,-84.9352,270.0,top
R14,162.822,-92.6,90.0,top
R15,163.822,-92.6,270.0,top
R16,158.275,-101.11,90.0,top
R17,159.275,-101.11,270.0,top
R2,135.4927,-80.92,90.0,top
R3,149.09,-99.7,180.0,top
R4,149.11,-97.7,0.0,top
R5,137.5104,-103.2968,0.0,top
SW1,151.1,-105.9,90.0,top
SW2,133.6,-103.4,0.0,top
U1,133.72,-97.859326,90.0,top
U2,151.1,-84.63,90.0,top
U3,142.6,-92.0,315.0,top
U5,160.656,-93.337,180.0,top
U6,156.1525,-102.1,180.0,top
USB1,131.8,-82.7,270.0,top
X1,146.0,-103.75,0.0,top
X2,140.5,-103.0,0.0,top
